Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Moisés Caicedo,ec ECU,"MF,DF",22,38,38,3351,37.2,1,2,3,1,0,0,11,0,0.8,0.8,3,3.8,43,215,37,0.03,0.05,0.08,0.03,0.08,0.02,0.08,0.1,0.02,0.1,Matches
Cole Palmer,eng ENG,"MF,FW",22,37,36,3191,35.5,15,8,23,11,4,5,7,0,17.3,13.3,10.9,24.2,120,214,187,0.42,0.23,0.65,0.31,0.54,0.49,0.31,0.79,0.38,0.68,Matches
Levi Colwill,eng ENG,DF,21,35,35,3149,35,2,1,3,2,0,0,9,0,1.9,1.9,1.1,3,14,131,12,0.06,0.03,0.09,0.06,0.09,0.05,0.03,0.09,0.05,0.09,Matches
Marc Cucurella,es ESP,DF,26,36,33,2988,33.2,5,1,6,5,0,0,10,1,2.8,2.8,2.1,4.9,35,118,117,0.15,0.03,0.18,0.15,0.18,0.08,0.06,0.15,0.08,0.15,Matches
Enzo Fernández,ar ARG,MF,23,36,32,2947,32.7,6,7,13,6,0,0,8,0,6.1,6.1,6.8,12.9,60,212,126,0.18,0.21,0.4,0.18,0.4,0.19,0.21,0.39,0.19,0.39,Matches
Robert Sánchez,es ESP,GK,26,32,32,2880,32,0,0,0,0,0,0,5,0,0,0,0.1,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
Nicolas Jackson,sn SEN,FW,23,30,28,2220,24.7,10,5,15,10,0,0,7,1,12.3,12.3,4.3,16.6,47,38,129,0.41,0.2,0.61,0.41,0.61,0.5,0.17,0.67,0.5,0.67,Matches
Noni Madueke,eng ENG,FW,22,32,27,2033,22.6,7,3,10,7,0,0,3,0,9.6,9.6,4.2,13.9,154,69,226,0.31,0.13,0.44,0.31,0.44,0.43,0.19,0.61,0.43,0.61,Matches
Pedro Neto,pt POR,FW,24,35,24,2269,25.2,4,6,10,4,0,0,8,0,3.5,3.5,6.7,10.2,126,60,253,0.16,0.24,0.4,0.16,0.4,0.14,0.27,0.4,0.14,0.4,Matches
Malo Gusto,fr FRA,DF,21,32,19,1862,20.7,0,1,1,0,0,0,4,0,1.7,1.7,1.4,3.1,50,119,85,0,0.05,0.05,0,0.05,0.08,0.07,0.15,0.08,0.15,Matches
Jadon Sancho,eng ENG,FW,24,31,19,1764,19.6,3,4,7,3,0,0,2,0,2.2,2.2,3.7,5.8,102,90,225,0.15,0.2,0.36,0.15,0.36,0.11,0.19,0.3,0.11,0.3,Matches
Tosin Adarabioyo,eng ENG,DF,26,22,15,1409,15.7,1,1,2,1,0,0,4,0,0.9,0.9,0.2,1.2,5,42,1,0.06,0.06,0.13,0.06,0.13,0.06,0.01,0.07,0.06,0.07,Matches
Wesley Fofana,fr FRA,DF,23,14,14,1172,13,0,0,0,0,0,0,7,0,0.4,0.4,0.4,0.8,19,32,4,0,0,0,0,0,0.03,0.03,0.07,0.03,0.06,Matches
Reece James,eng ENG,"DF,MF",24,19,12,1063,11.8,1,1,2,1,0,0,1,0,0.4,0.4,0.7,1.1,7,64,12,0.08,0.08,0.17,0.08,0.17,0.04,0.06,0.1,0.04,0.1,Matches
Trevoh Chalobah,eng ENG,DF,25,13,11,910,10.1,0,1,1,0,0,0,2,0,0.8,0.8,1.2,2,4,37,2,0,0.1,0.1,0,0.1,0.08,0.12,0.19,0.08,0.19,Matches
Roméo Lavia,be BEL,MF,20,16,11,797,8.9,0,1,1,0,0,0,4,0,0.3,0.3,0.7,1,3,31,7,0,0.11,0.11,0,0.11,0.03,0.08,0.11,0.03,0.11,Matches
Christopher Nkunku,fr FRA,FW,26,27,9,921,10.2,3,2,5,3,0,0,2,0,4.8,4.8,2.1,6.9,17,25,68,0.29,0.2,0.49,0.29,0.49,0.47,0.21,0.68,0.47,0.67,Matches
Filip Jørgensen,dk DEN,GK,22,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Axel Disasi,fr FRA,DF,26,6,4,364,4,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,6,16,2,0.25,0,0.25,0.25,0.25,0.07,0.02,0.09,0.07,0.09,Matches
João Félix,pt POR,"FW,MF",24,12,3,369,4.1,1,1,2,1,0,0,2,0,2.2,2.2,1,3.2,21,26,30,0.24,0.24,0.49,0.24,0.49,0.54,0.23,0.78,0.54,0.78,Matches
Benoît Badiashile,fr FRA,DF,23,5,3,334,3.7,0,0,0,0,0,0,0,0,0,0,0,0,3,17,2,0,0,0,0,0,0,0,0,0,0,Matches
Kiernan Dewsbury-Hall,eng ENG,"MF,FW",25,13,2,264,2.9,0,1,1,0,0,0,0,0,0.2,0.2,1.1,1.3,5,14,11,0,0.34,0.34,0,0.34,0.08,0.36,0.44,0.08,0.44,Matches
Joshua Acheampong,eng ENG,DF,18,4,2,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,0,8,0,0,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches
Tyrique George,eng ENG,FW,18,8,1,183,2,1,1,2,1,0,0,1,0,0.2,0.2,0.7,0.9,9,3,22,0.49,0.49,0.98,0.49,0.98,0.1,0.36,0.46,0.1,0.46,Matches
Renato Veiga,pt POR,"DF,MF",21,7,1,181,2,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,4,7,3,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
Mykhailo Mudryk,ua UKR,FW,23,7,1,151,1.7,0,0,0,0,0,0,0,0,0.3,0.3,1,1.2,7,5,12,0,0,0,0,0,0.15,0.58,0.73,0.15,0.73,Matches
Marc Guiu,es ESP,FW,18,3,0,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches
Mathis Amougou,fr FRA,MF,18,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
Shumaira Mheuka,eng ENG,MF,16,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,5.06,0,5.06,5.06,5.06,Matches
Aaron Anselmino,ar ARG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Genesis Antwi,se SWE,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marcus Bettinelli,eng ENG,GK,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Cesare Casadei,it ITA,MF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
